                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.96114,                 1.3548,                0.83885,                0.93208,                0.89652,                0.85582,                0.88182,                0.64644,                0.86474,                0.81982,                0.83222,                 0.4513,                0.91482,                 1.4439,                0.86873,                0.92579,             0.00040623,             0.00040623,             0.00040623
                     25,                0.92236,                 1.3445,                0.82022,                0.92591,                0.93332,                0.86354,                0.89299,                0.67904,                0.85827,                0.81598,                0.84079,                0.47817,                0.82378,                 1.3487,                0.79016,                0.90689,             0.00040102,             0.00040102,             0.00040102
                     26,                0.91476,                 1.3432,                0.79798,                0.91609,                 0.9488,                0.85904,                0.89212,                0.67734,                0.88509,                0.83845,                0.84765,                0.50332,                0.82419,                 1.2405,                0.73133,                0.90489,             0.00039581,             0.00039581,             0.00039581
                     27,                0.89537,                 1.2997,                 0.7795,                0.90508,                0.91894,                0.82613,                0.85884,                 0.6451,                0.89147,                0.81452,                0.83569,                0.47368,                 0.8644,                 1.4821,                0.72627,                0.90636,             0.00039061,             0.00039061,             0.00039061
                     28,                0.92614,                 1.3474,                 0.7986,                0.90918,                0.92959,                  0.886,                0.89237,                0.68882,                0.94947,                0.78864,                0.84231,                0.51557,                0.83289,                 1.2341,                0.69238,                0.90439,              0.0003854,              0.0003854,              0.0003854
                     29,                0.89096,                 1.2845,                0.75767,                0.89808,                0.93878,                0.87683,                0.89262,                0.68232,                0.88689,                0.83658,                 0.8444,                 0.5246,                0.78257,                 1.2804,                0.65207,                0.88559,             0.00038019,             0.00038019,             0.00038019
                     30,                0.91105,                 1.2803,                0.76014,                0.90528,                0.94763,                0.87802,                0.89605,                0.67734,                0.89498,                0.85676,                0.86142,                0.53833,                0.80458,                 1.2168,                0.63978,                0.88809,             0.00037499,             0.00037499,             0.00037499
                     31,                0.86826,                 1.2563,                0.73859,                0.89943,                0.92096,                0.86195,                0.88637,                0.67797,                0.86609,                0.82303,                0.82128,                0.49048,                0.80275,                 1.2589,                0.66751,                0.88717,             0.00036978,             0.00036978,             0.00036978
                     32,                0.84316,                 1.2329,                 0.7234,                 0.8871,                0.94739,                0.87393,                0.89216,                0.67931,                0.90941,                0.84759,                0.85856,                0.52294,                 0.8099,                 1.2436,                0.58966,                 0.8865,             0.00036457,             0.00036457,             0.00036457
                     33,                0.82896,                 1.2173,                0.73369,                0.90335,                0.94282,                0.88565,                0.90042,                0.70288,                0.91974,                0.85063,                0.87156,                0.52292,                0.76709,                 1.2632,                0.57295,                0.87748,             0.00035936,             0.00035936,             0.00035936
